Title,Price,answer,brand,model_name,CPU,RAM,disk_space,GPU
"ASUS Vivobook 16 X1605ZA-MB416W, Notebook, mit 16 Zoll Display, Intel® Pentium® Gold,8505 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Silber, Windows 11 Home (64 Bit)","449,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Vivobook 16 X1605ZA-MB416W"",
        ""CPU"": ""Intel® Pentium® Gold,8505"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ASUS,Vivobook 16 X1605ZA-MB416W,"Intel® Pentium® Gold,8505",8,512 GB,Intel® UHD Graphics
"ACER Predator Helios Neo 16, Gaming Notebook, mit 16,0 Zoll Display, Intel® Core™ i7,i7-13700HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Obsidian Black, Windows 11 Home (64 Bit)","2359,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Predator Helios Neo 16"",
        ""CPU"": ""Intel® Core™ i7-13700HX"",
        ""RAM"": 32,
        ""disk space"": ""1 TB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4070""
    }
]
```",ACER,Predator Helios Neo 16,Intel® Core™ i7-13700HX,32,1 TB,NVIDIA GeForce RTX™ 4070
"ASUS Chromebook CX1700 (CX1700CKA-BX0035), Chromebook, mit 17,3 Zoll Display, Intel® Celeron®,N4500 Prozessor, 8 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Transparent Silver, Google Chrome OS","499,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Chromebook CX1700"",
        ""CPU"": ""Intel® Celeron® N4500"",
        ""RAM"": 8,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ASUS,Chromebook CX1700,Intel® Celeron® N4500,8,128 GB eMMC,Intel® UHD Graphics
"ASUS TUF Gaming A15 FA506NC-HN001W, Gaming Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 5,7535HS Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 3050, Graphite Black, Windows 11 Home (64 Bit)","899,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""TUF Gaming A15 FA506NC-HN001W"",
        ""CPU"": ""AMD Ryzen™ 5,7535HS"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 3050""
    }
]
```",ASUS,TUF Gaming A15 FA506NC-HN001W,"AMD Ryzen™ 5,7535HS",16,512 GB,NVIDIA GeForce RTX™ 3050
"LENOVO Yoga Pro 7i, Premium KI-Notebook, mit 14,5 Zoll Display, Intel® Evo™ Plattform, Intel® U-Series,155H Prozessor, 32 GB RAM, 1000 GB SSD GeForce RTX™ 4050, Luna Grey, Windows 11 Home (64 Bit)","1699,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""Yoga Pro 7i"",
        ""CPU"": ""Intel® U-Series,155H"",
        ""RAM"": 32,
        ""disk space"": ""1000 GB"",
        ""GPU"": ""GeForce RTX™ 4050""
    }
]
```",LENOVO,Yoga Pro 7i,"Intel® U-Series,155H",32,1000 GB,GeForce RTX™ 4050
"LENOVO LOQ 15IAX9, Gaming-Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,12450HX Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 2050, Luna Grey, Windows 11 Home (64 Bit)","849,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""LOQ 15IAX9"",
        ""CPU"": ""Intel® Core™ i5,12450HX"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 2050""
    }
]
```",LENOVO,LOQ 15IAX9,"Intel® Core™ i5,12450HX",16,512 GB,NVIDIA GeForce RTX™ 2050
"ACER Aspire 3 (A315-44P-R53H), Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,5700U Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ Onboard Graphics, Pure Silver, Windows 11 Home (64 Bit)","629,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Aspire 3 (A315-44P-R53H)"",
        ""CPU"": ""AMD Ryzen™ 7 5700U"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""AMD Radeon™ Onboard Graphics""
    }
]
```",ACER,Aspire 3 (A315-44P-R53H),AMD Ryzen™ 7 5700U,16,1 TB,AMD Radeon™ Onboard Graphics
"MSI Thin GF63 12VE-081, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-12450H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","999,00€","```json
[
    {
        ""brand"": ""MSI"",
        ""model name"": ""Thin GF63 12VE-081"",
        ""CPU"": ""Intel® Core™ i5,i5-12450H"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4050""
    }
]
```",MSI,Thin GF63 12VE-081,"Intel® Core™ i5,i5-12450H",16,512 GB,NVIDIA GeForce RTX™ 4050
"LENOVO LOQ 15IRX9, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-13450HX Prozessor, 16 GB RAM, 1 TB SSD GeForce RTX™ 4060, Luna Grey, Windows 11 Home (64 Bit)","1199,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""LOQ 15IRX9"",
        ""CPU"": ""Intel® Core™ i5-13450HX"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""GeForce RTX™ 4060""
    }
]
```",LENOVO,LOQ 15IRX9,Intel® Core™ i5-13450HX,16,1 TB,GeForce RTX™ 4060
"ASUS Vivobook 16 X1605VA-MB183W, Notebook, mit 16 Zoll Display, Intel® Core™ i9,i9-13900H Prozessor, 16 GB RAM, 1 TB SSD, Intel® Iris® Xe, Schwarz, Windows 11 Home (64 Bit)","1099,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Vivobook 16 X1605VA-MB183W"",
        ""CPU"": ""Intel® Core™ i9,i9-13900H"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",ASUS,Vivobook 16 X1605VA-MB183W,"Intel® Core™ i9,i9-13900H",16,1 TB,Intel® Iris® Xe
"ACER Aspire 3 (A317-55P-384L), Notebook, mit 17,3 Zoll Display, Intel® Core™ i3,i3-N305 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Steel Grey, Windows 11 Home (64 Bit)","609,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Aspire 3 (A317-55P-384L)"",
        ""CPU"": ""Intel® Core™ i3,i3-N305"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ACER,Aspire 3 (A317-55P-384L),"Intel® Core™ i3,i3-N305",8,512 GB,Intel® UHD Graphics
"APPLE MacBook Air (2020), Notebook mit 13,3 Zoll Display, Apple M1 Prozessor, 8 GB RAM, 256 GB SSD, M1, Silber","1129,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2020)"",
        ""CPU"": ""Apple M1"",
        ""RAM"": 8,
        ""disk space"": ""256 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2020),Apple M1,8,256 GB,
"ASUS Vivobook 16 X1605ZA-MB003W, Notebook, mit 16 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 512 GB SSD, Intel® Iris® Xe, Silber, Windows 11 Home (64 Bit)","699,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""Vivobook 16 X1605ZA-MB003W"",
        ""CPU"": ""Intel® Core™ i5,i5-1235U"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",ASUS,Vivobook 16 X1605ZA-MB003W,"Intel® Core™ i5,i5-1235U",8,512 GB,Intel® Iris® Xe
"APPLE MacBook Air (2024), MRXW3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 8 GB RAM, 512 GB SSD, Mitternacht, macOS","1529,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2024)"",
        ""CPU"": ""M3"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2024),M3,8,512 GB,
"HP OMEN 16-xd0353ng, Gaming Notebook, mit 16,1 Zoll Display, AMD Ryzen™ 5,7640HS  Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4050, Schwarz, Windows 11 Home (64 Bit)","1399,00€","```json
[
    {
        ""brand"": ""HP"",
        ""model name"": ""OMEN 16-xd0353ng"",
        ""CPU"": ""AMD Ryzen™ 5,7640HS"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4050""
    }
]
```",HP,OMEN 16-xd0353ng,"AMD Ryzen™ 5,7640HS",16,512 GB,NVIDIA GeForce RTX™ 4050
"LENOVO IdeaPad 3i, Notebook, mit 17,3 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Arctic Grey, Windows 11 Home (64 Bit)","659,99€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad 3i"",
        ""CPU"": ""Intel® Core™ i5,i5-1235U"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",LENOVO,IdeaPad 3i,"Intel® Core™ i5,i5-1235U",16,512 GB,Intel® Iris® Xe
"MSI Katana 17 B13VFK-848, Gaming Notebook, mit 17,3 Zoll Display, Intel® Core™ i7,i7-13620H Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Schwarz, Windows 11 (64 Bit)","1599,00€","```json
[
    {
        ""brand"": ""MSI"",
        ""model name"": ""Katana 17 B13VFK-848"",
        ""CPU"": ""Intel® Core™ i7,i7-13620H"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4060""
    }
]
```",MSI,Katana 17 B13VFK-848,"Intel® Core™ i7,i7-13620H",16,1 TB,NVIDIA GeForce RTX™ 4060
"ACER Predator Helios Neo 18 (PHN18-71-72L2) mit 165 Hz Display mit RGB Tastaturbeleuchtung, Gaming Notebook, mit 18 Zoll Display, Intel® Core™ i7,i7-14650HX Prozessor, 16 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4060, Abyssal Black, Windows 11 (64 Bit)","1799,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Predator Helios Neo 18 (PHN18-71-72L2)"",
        ""CPU"": ""Intel® Core™ i7,i7-14650HX"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4060""
    }
]
```",ACER,Predator Helios Neo 18 (PHN18-71-72L2),"Intel® Core™ i7,i7-14650HX",16,1 TB,NVIDIA GeForce RTX™ 4060
"LENOVO Yoga Slim 7x, Copilot+ PC, Copilot+ PC, mit 14,5 Zoll Display, Qualcomm Snapdragon X Elite,X1E78100 Prozessor, 32 GB RAM, 1 TB SSD, Qualcomm Adreno™ Onboard Graphics, Cosmic Blue, Windows 11 Home (64 Bit)","1599,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""Yoga Slim 7x"",
        ""CPU"": ""Qualcomm Snapdragon X Elite,X1E78100"",
        ""RAM"": 32,
        ""disk space"": ""1 TB"",
        ""GPU"": ""Qualcomm Adreno™ Onboard Graphics""
    }
]
```",LENOVO,Yoga Slim 7x,"Qualcomm Snapdragon X Elite,X1E78100",32,1 TB,Qualcomm Adreno™ Onboard Graphics
"HP Pavilion Plus 14-eh1359ng, Notebook, mit 14 Zoll Display, Intel® Core™ i5,i5-1340P Prozessor, 16 GB RAM, 512 GB SSD, Intel® Iris® Xe, Silber, Windows 11 Home (64 Bit)","799,99€","```json
[
    {
        ""brand"": ""HP"",
        ""model name"": ""Pavilion Plus 14-eh1359ng"",
        ""CPU"": ""Intel® Core™ i5,i5-1340P"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® Iris® Xe""
    }
]
```",HP,Pavilion Plus 14-eh1359ng,"Intel® Core™ i5,i5-1340P",16,512 GB,Intel® Iris® Xe
"ASUS ROG Strix G18 G814JI-N5056W, Gaming Notebook, mit 18 Zoll Display, Intel® Core™ i9,i9-13980HX Prozessor, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX™ 4070, Schwarz/Grau, Windows 11 Home (64 Bit)","2199,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""ROG Strix G18 G814JI-N5056W"",
        ""CPU"": ""Intel® Core™ i9,i9-13980HX"",
        ""RAM"": 32,
        ""disk space"": ""1 TB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4070""
    }
]
```",ASUS,ROG Strix G18 G814JI-N5056W,"Intel® Core™ i9,i9-13980HX",32,1 TB,NVIDIA GeForce RTX™ 4070
"LENOVO IdeaPad Flex 5i, Chromebook Plus, mit 14 Zoll Display, Intel® Core™ i3,i3-1315U Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Storm Grey, Google Chrome OS","679,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad Flex 5i, Chromebook Plus"",
        ""CPU"": ""Intel® Core™ i3-1315U"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",LENOVO,"IdeaPad Flex 5i, Chromebook Plus",Intel® Core™ i3-1315U,8,512 GB,Intel® UHD Graphics
"ACER Aspire 5 (A515-57-53QH) mit Tastaturbeleuchtung, Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-12450H Prozessor, 16 GB RAM, 512 GB SSD, Intel® UHD Graphics, Steel Gray, Windows 11 Home (64 Bit)","689,99€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Aspire 5 (A515-57-53QH)"",
        ""CPU"": ""Intel® Core™ i5,i5-12450H"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ACER,Aspire 5 (A515-57-53QH),"Intel® Core™ i5,i5-12450H",16,512 GB,Intel® UHD Graphics
"LENOVO IdeaPad Slim 3i, Notebook, mit 16 Zoll Display, Intel® Core™ i5,i5-12450H Prozessor, 16 GB RAM, 512 GB SSD, Intel® UHD Graphics, Arctic Grey, Windows 11 Home (64 Bit)","589,99€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""IdeaPad Slim 3i"",
        ""CPU"": ""Intel® Core™ i5-12450H"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",LENOVO,IdeaPad Slim 3i,Intel® Core™ i5-12450H,16,512 GB,Intel® UHD Graphics
"ACER Aspire 3 (A315-58-3652), Notebook, mit 15,6 Zoll Display, Intel® Core™ i3,i3-1115G4 Prozessor, 16 GB RAM, 512 GB SSD, Intel® UHD Graphics, Pure Silver, Windows 11 Home (64 Bit)","519,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Aspire 3 (A315-58-3652)"",
        ""CPU"": ""Intel® Core™ i3,i3-1115G4"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ACER,Aspire 3 (A315-58-3652),"Intel® Core™ i3,i3-1115G4",16,512 GB,Intel® UHD Graphics
"ACER Chromebook 315 (CB315-3H-C0AY), Chromebook, mit 15,6 Zoll Display, Intel® Celeron®,N4120 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD 600, Pure Silver, Google Chrome OS","349,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Chromebook 315 (CB315-3H-C0AY)"",
        ""CPU"": ""Intel® Celeron®,N4120"",
        ""RAM"": 4,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD 600""
    }
]
```",ACER,Chromebook 315 (CB315-3H-C0AY),"Intel® Celeron®,N4120",4,128 GB eMMC,Intel® UHD 600
"ASUS ZenBook 15 OLED UM3504DA-MA217W, Notebook, mit 15,6 Zoll Display, AMD Ryzen™ 7,7735U Prozessor, 16 GB RAM, 1 TB SSD, AMD Radeon™ 680M, Blau, Windows 11 Home (64 Bit)","1499,00€","```json
[
    {
        ""brand"": ""ASUS"",
        ""model name"": ""ZenBook 15 OLED UM3504DA-MA217W"",
        ""CPU"": ""AMD Ryzen™ 7,7735U"",
        ""RAM"": 16,
        ""disk space"": ""1 TB"",
        ""GPU"": ""AMD Radeon™ 680M""
    }
]
```",ASUS,ZenBook 15 OLED UM3504DA-MA217W,"AMD Ryzen™ 7,7735U",16,1 TB,AMD Radeon™ 680M
"ACER Chromebook 314 (CB314-3HT-P0U0), Chromebook, mit 14 Zoll Display Touchscreen, Intel® Pentium®,N6000 Prozessor, 4 GB RAM, 128 GB eMMC, Intel® UHD Graphics, Pure Silver, Google Chrome OS","519,00€","```json
[
    {
        ""brand"": ""ACER"",
        ""model name"": ""Chromebook 314 (CB314-3HT-P0U0)"",
        ""CPU"": ""Intel® Pentium®,N6000"",
        ""RAM"": 4,
        ""disk space"": ""128 GB eMMC"",
        ""GPU"": ""Intel® UHD Graphics""
    }
]
```",ACER,Chromebook 314 (CB314-3HT-P0U0),"Intel® Pentium®,N6000",4,128 GB eMMC,Intel® UHD Graphics
"APPLE MacBook Air (2024), MXCU3D/A, Notebook, mit 13,6 Zoll Display, M3 Prozessor, 16 GB RAM, 512 GB SSD, Silber, macOS","1759,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2024)"",
        ""CPU"": ""M3"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2024),M3,16,512 GB,
"APPLE MacBook Pro (2023), Notebook mit 16 Zoll Display, Apple M3 Pro Chip, 18 GB RAM, 18-Core GPU, 512 GB SSD, Space Schwarz","2999,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Pro (2023)"",
        ""CPU"": ""Apple M3 Pro"",
        ""RAM"": 18,
        ""disk space"": ""512 GB"",
        ""GPU"": ""18-Core GPU""
    }
]
```",APPLE,MacBook Pro (2023),Apple M3 Pro,18,512 GB,18-Core GPU
"APPLE MacBook Air (2022), MLY43D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 512 GB SSD, M2, Mitternacht","1429,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2022)"",
        ""CPU"": ""Apple M2"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2022),Apple M2,8,512 GB,
"APPLE MacBook Air (2024), MRYM3D/A, Notebook, mit 15,3 Zoll Display, M3 Prozessor, 8 GB RAM, 256 GB SSD, Space Grau, macOS","1599,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2024)"",
        ""CPU"": ""M3"",
        ""RAM"": 8,
        ""disk space"": ""256 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2024),M3,8,256 GB,
"LENOVO Lenovo LOQ 15, Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-13500H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 4060, Storm Grey, Windows 11 Home (64 Bit)","1319,00€","```json
[
    {
        ""brand"": ""LENOVO"",
        ""model name"": ""LOQ 15"",
        ""CPU"": ""Intel® Core™ i5-13500H"",
        ""RAM"": 16,
        ""disk space"": ""512 GB"",
        ""GPU"": ""NVIDIA GeForce RTX™ 4060""
    }
]
```",LENOVO,LOQ 15,Intel® Core™ i5-13500H,16,512 GB,NVIDIA GeForce RTX™ 4060
"APPLE MacBook Air (2022), MLY03D/A, Notebook mit 13,6 Zoll Display, Apple M2 Prozessor, 8 GB RAM, 512 GB SSD, M2, Silber","1429,00€","```json
[
    {
        ""brand"": ""APPLE"",
        ""model name"": ""MacBook Air (2022)"",
        ""CPU"": ""Apple M2"",
        ""RAM"": 8,
        ""disk space"": ""512 GB"",
        ""GPU"": null
    }
]
```",APPLE,MacBook Air (2022),Apple M2,8,512 GB,
